time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x,y,z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/02/28/14:16:49.716279,28310,1677611809,710664108,map,0.231684565544128,-0.356425613164902,1.42891240119934,0.000249613393217,0.01619858146233,-0.031514378743354,-0.999371994842917
2023/02/28/14:16:49.735004,28311,1677611809,731519102,map,0.231563299894333,-0.356679528951645,1.42832255363464,0.000547380877946,0.017465702755208,-0.032700896822632,-0.999312399199122
2023/02/28/14:16:49.737291,28312,1677611809,731895355,map,0.231504902243614,-0.356790572404861,1.42802309989929,0.000547380877946,0.017465702755208,-0.032700896822632,-0.999312399199122
2023/02/28/14:16:49.754373,28313,1677611809,745044129,map,0.231443822383881,-0.356877833604813,1.42771804332733,0.000547380877946,0.017465702755208,-0.032700896822632,-0.999312399199122
2023/02/28/14:16:49.761355,28314,1677611809,757114611,map,0.231374740600586,-0.356954872608185,1.427410364151,0.000547380877946,0.017465702755208,-0.032700896822632,-0.999312399199122
2023/02/28/14:16:49.775213,28315,1677611809,773625344,map,0.231301829218864,-0.357022643089294,1.42710220813751,0.001006065688835,0.017751536754909,-0.033735517659878,-0.999272696867825
2023/02/28/14:16:49.792798,28316,1677611809,785675981,map,0.23121502995491,-0.35708624124527,1.42678844928741,0.001006065688835,0.017751536754909,-0.033735517659878,-0.999272696867825
2023/02/28/14:16:49.795858,28317,1677611809,794359139,map,0.230984479188919,-0.357219815254211,1.42614388465881,0.001006065688835,0.017751536754909,-0.033735517659878,-0.999272696867825
2023/02/28/14:16:49.863202,28318,1677611809,812776140,map,0.230851382017136,-0.357269465923309,1.42581808567047,0.001006065688835,0.017751536754909,-0.033735517659878,-0.999272696867825
2023/02/28/14:16:49.863252,28319,1677611809,813189113,map,0.230712309479713,-0.357308506965637,1.42549026012421,0.001522894052878,0.01827501905266,-0.035448534170755,-0.999203323155176
2023/02/28/14:16:49.863280,28320,1677611809,828473428,map,0.230567812919617,-0.357340306043625,1.4251629114151,0.001522894052878,0.01827501905266,-0.035448534170755,-0.999203323155176
2023/02/28/14:16:49.863307,28321,1677611809,838749361,map,0.230422019958496,-0.357376039028168,1.42484605312347,0.001522894052878,0.01827501905266,-0.035448534170755,-0.999203323155176
2023/02/28/14:16:49.863326,28322,1677611809,849452746,map,0.230289697647095,-0.357409626245499,1.42453157901764,0.001522894052878,0.01827501905266,-0.035448534170755,-0.999203323155176
2023/02/28/14:16:49.863344,28323,1677611809,860986295,map,0.230049476027489,-0.357486069202423,1.42388319969177,0.001838397458296,0.019076026494055,-0.03674412829398,-0.99914094581938
2023/02/28/14:16:49.894036,28324,1677611809,872438438,map,0.22995126247406,-0.357523560523987,1.42354142665863,0.001838397458296,0.019076026494055,-0.03674412829398,-0.99914094581938
